year,discipline,athlete_count
1968,Boxing,307
1968,Canoe Sprint (Canoeing),184
1968,Cross Country Skiing (Skiing),144
1968,Cycling Road (Cycling),195
1968,Cycling Track (Cycling),134
1968,Diving (Aquatics),81
1968,Equestrian Dressage (Equestrian),26
1968,Equestrian Eventing (Equestrian),49
1968,Equestrian Jumping (Equestrian),50
1968,Fencing,278
1968,Figure Skating (Skating),100
1968,Football (Football),276
1968,Hockey,259
1968,Ice Hockey (Ice Hockey),250
1968,Luge,87
1968,Modern Pentathlon,45
1968,Nordic Combined (Skiing),39
1968,Rowing,353
1968,Sailing,251
1968,Shooting,351
1968,Ski Jumping (Skiing),64
1968,Speed Skating (Skating),129
1968,Swimming (Aquatics),470
1968,Volleyball (Volleyball),210
1968,Water Polo (Aquatics),162
1968,Weightlifting,160
1968,Wrestling,297
1972,Alpine Skiing (Skiing),144
1972,Archery,95
1972,Artistic Gymnastics (Gymnastics),231
1972,Athletics,1356
1972,Basketball (Basketball),191
1972,Biathlon,62
1972,Bobsleigh (Bobsleigh),80
1972,Boxing,355
1972,Canoe Slalom (Canoeing),121
1972,Canoe Sprint (Canoeing),209
1972,Cross Country Skiing (Skiing),151
1972,Cycling Road (Cycling),217
1972,Cycling Track (Cycling),142
1972,Diving (Aquatics),91
1972,Equestrian Dressage (Equestrian),33
1972,Equestrian Eventing (Equestrian),72
1972,Equestrian Jumping (Equestrian),74
1972,Fencing,302
1972,Figure Skating (Skating),67
1972,Football (Football),271
1972,Handball,244
1972,Hockey,274
1972,Ice Hockey (Ice Hockey),211
1972,Judo,148
1972,Luge,83
1972,Modern Pentathlon,58
1972,Nordic Combined (Skiing),38
1972,Rowing,440
1972,Sailing,323
1972,Shooting,397
1972,Ski Jumping (Skiing),59
1972,Speed Skating (Skating),118
1972,Swimming (Aquatics),537
1972,Volleyball (Volleyball),233
1972,Water Polo (Aquatics),176
1972,Weightlifting,188
1972,Wrestling,388
1976,Alpine Skiing (Skiing),181
1976,Archery,64
1976,Artistic Gymnastics (Gymnastics),176
1976,Athletics,1074
1976,Basketball (Basketball),214
1976,Biathlon,74
1976,Bobsleigh (Bobsleigh),92
1976,Boxing,278
1976,Canoe Sprint (Canoeing),245
1976,Cross Country Skiing (Skiing),162
1976,Cycling Road (Cycling),184
1976,Cycling Track (Cycling),111
1976,Diving (Aquatics),80
1976,Equestrian Dressage (Equestrian),27
1976,Equestrian Eventing (Equestrian),48
1976,Equestrian Jumping (Equestrian),60
1976,Fencing,285
1976,Figure Skating (Skating),105
1976,Football (Football),208
1976,Handball,245
1976,Hockey,179
1976,Ice Hockey (Ice Hockey),217
1976,Judo,136
1976,Luge,94
1976,Modern Pentathlon,44
1976,Nordic Combined (Skiing),34
1976,Rowing,593
1976,Sailing,257
1976,Shooting,344
1976,Ski Jumping (Skiing),59
1976,Speed Skating (Skating),111
1976,Swimming (Aquatics),479
1976,Volleyball (Volleyball),216
1976,Water Polo (Aquatics),131
1976,Weightlifting,173
1976,Wrestling,330
1980,Alpine Skiing (Skiing),174
1980,Archery,67
1980,Artistic Gymnastics (Gymnastics),127
1980,Athletics,980
1980,Basketball (Basketball),215
1980,Biathlon,76
1980,Bobsleigh (Bobsleigh),78
1980,Boxing,272
1980,Canoe Sprint (Canoeing),183
1980,Cross Country Skiing (Skiing),132
1980,Cycling Road (Cycling),156
1980,Cycling Track (Cycling),74
1980,Diving (Aquatics),67
1980,Equestrian Dressage (Equestrian),14
1980,Equestrian Eventing (Equestrian),28
1980,Equestrian Jumping (Equestrian),26
1980,Fencing,189
1980,Figure Skating (Skating),86
1980,Football (Football),257
1980,Handball,249
1980,Hockey,187
1980,Ice Hockey (Ice Hockey),239
1980,Judo,182
1980,Luge,80
1980,Modern Pentathlon,42
1980,Nordic Combined (Skiing),31
1980,Rowing,470
1980,Sailing,156
1980,Shooting,239
1980,Ski Jumping (Skiing),51
1980,Speed Skating (Skating),128
1980,Swimming (Aquatics),334
1980,Volleyball (Volleyball),206
1980,Water Polo (Aquatics),132
1980,Weightlifting,172
1980,Wrestling,266
1984,Alpine Skiing (Skiing),226
1984,Archery,109
1984,Artistic Gymnastics (Gymnastics),136
1984,Artistic Swimming (Aquatics),50
1984,Athletics,1299
1984,Baseball (Baseball/Softball),6
1984,Basketball (Basketball),213
1984,Biathlon,95
1984,Bobsleigh (Bobsleigh),111
1984,Boxing,355
1984,Canoe Sprint (Canoeing),195
1984,Cross Country Skiing (Skiing),177
1984,Cycling Road (Cycling),233
1984,Cycling Track (Cycling),126
1984,Diving (Aquatics),80
1984,Equestrian Dressage (Equestrian),43
1984,Equestrian Eventing (Equestrian),48
1984,Equestrian Jumping (Equestrian),66
1984,Fencing,266
1984,Figure Skating (Skating),114
1984,Football (Football),247
1984,Handball,262
1984,Hockey,287
1984,Ice Hockey (Ice Hockey),239
1984,Judo,212
1984,Luge,80
1984,Modern Pentathlon,53
1984,Nordic Combined (Skiing),28
1984,Rhythmic Gymnastics (Gymnastics),33
1984,Rowing,447
1984,Sailing,304
1984,Shooting,460
1984,Ski Jumping (Skiing),65
1984,Speed Skating (Skating),139
1984,Swimming (Aquatics),496
1984,Tennis,22
1984,Volleyball (Volleyball),211
1984,Water Polo (Aquatics),154
1984,Weightlifting,186
1984,Wrestling,267
1988,Alpine Skiing (Skiing),273
1988,Archery,146
1988,Artistic Gymnastics (Gymnastics),179
1988,Artistic Swimming (Aquatics),46
1988,Athletics,1631
1988,Badminton,15
1988,Baseball (Baseball/Softball),23
1988,Basketball (Basketball),238
1988,Biathlon,90
1988,Bobsleigh (Bobsleigh),135
1988,Boxing,434
1988,Canoe Sprint (Canoeing),275
1988,Cross Country Skiing (Skiing),197
1988,Curling,14
1988,Cycling Road (Cycling),265
1988,Cycling Track (Cycling),157
1988,Diving (Aquatics),89
1988,Equestrian Dressage (Equestrian),53
1988,Equestrian Eventing (Equestrian),49
1988,Equestrian Jumping (Equestrian),80
1988,Fencing,320
1988,Figure Skating (Skating),129
1988,Football (Football),272
1988,Freestyle Skiing (Skiing),17
1988,Handball,287
1988,Hockey,314
1988,Ice Hockey (Ice Hockey),267
1988,Judo,264
1988,Luge,88
1988,Modern Pentathlon,60
1988,Nordic Combined (Skiing),44
1988,Rhythmic Gymnastics (Gymnastics),39
1988,Rowing,594
1988,Sailing,375
1988,Shooting,396
1988,Short Track Speed Skating (Skating),38
1988,Ski Jumping (Skiing),65
1988,Speed Skating (Skating),141
1988,Swimming (Aquatics),635
1988,Table Tennis,129
1988,Taekwondo,2
1988,Tennis,129
1988,Volleyball (Volleyball),240
1988,Water Polo (Aquatics),156
1988,Weightlifting,226
1988,Wrestling,429
1992,Alpine Skiing (Skiing),322
1992,Archery,136
1992,Artistic Gymnastics (Gymnastics),185
1992,Artistic Swimming (Aquatics),53
1992,Athletics,1733
1992,Badminton,177
1992,Baseball (Baseball/Softball),160
1992,Basketball (Basketball),236
1992,Biathlon,196
1992,Bobsleigh (Bobsleigh),159
1992,Boxing,336
1992,Canoe Slalom (Canoeing),135
1992,Canoe Sprint (Canoeing),305
1992,Cross Country Skiing (Skiing),217
1992,Curling,24
1992,Cycling Road (Cycling),283
1992,Cycling Track (Cycling),168
1992,Diving (Aquatics),100
1992,Equestrian Dressage (Equestrian),48
1992,Equestrian Eventing (Equestrian),80
1992,Equestrian Jumping (Equestrian),87
1992,Fencing,305
1992,Figure Skating (Skating),133
1992,Football (Football),272
1992,Freestyle Skiing (Skiing),91
1992,Handball,302
1992,Hockey,317
1992,Ice Hockey (Ice Hockey),270
1992,Judo,433
1992,Luge,89
1992,Modern Pentathlon,64
1992,Nordic Combined (Skiing),46
1992,Rhythmic Gymnastics (Gymnastics),42
1992,Rowing,628
1992,Sailing,441
1992,Shooting,407
1992,Short Track Speed Skating (Skating),93
1992,Ski Jumping (Skiing),62
1992,Speed Skating (Skating),154
1992,Speed Skiing (Skiing),1
1992,Swimming (Aquatics),642
1992,Table Tennis,159
1992,Taekwondo,7
1992,Tennis,178
1992,Volleyball (Volleyball),236
1992,Water Polo (Aquatics),154
1992,Weightlifting,244
1992,Wrestling,370
1994,Alpine Skiing (Skiing),250
1994,Biathlon,193
1994,Bobsleigh (Bobsleigh),155
1994,Cross Country Skiing (Skiing),197
1994,Figure Skating (Skating),129
1994,Freestyle Skiing (Skiing),98
1994,Ice Hockey (Ice Hockey),269
1994,Luge,92
1994,Nordic Combined (Skiing),53
1994,Short Track Speed Skating (Skating),92
1994,Ski Jumping (Skiing),67
1994,Speed Skating (Skating),150
1996,Archery,128
1996,Artistic Gymnastics (Gymnastics),216
1996,Artistic Swimming (Aquatics),72
1996,Athletics,2069
1996,Badminton,192
1996,Baseball (Baseball/Softball),160
1996,Basketball (Basketball),285
1996,Beach Volleyball (Volleyball),84
1996,Boxing,355
1996,Canoe Slalom (Canoeing),134
1996,Canoe Sprint (Canoeing),317
1996,Cycling Mountain Bike (Cycling),66
1996,Cycling Road (Cycling),248
1996,Cycling Track (Cycling),163
1996,Diving (Aquatics),122
1996,Equestrian Dressage (Equestrian),49
1996,Equestrian Eventing (Equestrian),88
1996,Equestrian Jumping (Equestrian),82
1996,Fencing,224
1996,Football (Football),395
1996,Handball,303
1996,Hockey,320
1996,Judo,387
1996,Modern Pentathlon,32
1996,Rhythmic Gymnastics (Gymnastics),90
1996,Rowing,608
1996,Sailing,458
1996,Shooting,419
1996,Softball (Baseball/Softball),120
1996,Swimming (Aquatics),763
1996,Table Tennis,166
1996,Tennis,176
1996,Volleyball (Volleyball),281
1996,Water Polo (Aquatics),154
1996,Weightlifting,243
1996,Wrestling,401
1998,Alpine Skiing (Skiing),250
1998,Biathlon,183
1998,Bobsleigh (Bobsleigh),156
1998,Cross Country Skiing (Skiing),227
1998,Curling,80
1998,Figure Skating (Skating),145
1998,Freestyle Skiing (Skiing),110
1998,Ice Hockey (Ice Hockey),435
1998,Luge,93
1998,Nordic Combined (Skiing),53
1998,Short Track Speed Skating (Skating),96
1998,Ski Jumping (Skiing),68
1998,Snowboarding (Skiing),125
1998,Speed Skating (Skating),171
2000,Archery,128
2000,Artistic Gymnastics (Gymnastics),194
2000,Artistic Swimming (Aquatics),101
2000,Athletics,2142
2000,Badminton,171
2000,Baseball (Baseball/Softball),192
2000,Basketball (Basketball),286
2000,Beach Volleyball (Volleyball),96
2000,Boxing,308
2000,Canoe Slalom (Canoeing),83
2000,Canoe Sprint (Canoeing),247
2000,Cycling Mountain Bike (Cycling),76
2000,Cycling Road (Cycling),218
2000,Cycling Track (Cycling),168
2000,Diving (Aquatics),157
2000,Equestrian Dressage (Equestrian),47
2000,Equestrian Eventing (Equestrian),74
2000,Equestrian Jumping (Equestrian),74
2000,Fencing,217
2000,Football (Football),410
2000,Handball,325
2000,Hockey,351
2000,Judo,398
2000,Modern Pentathlon,48
2000,Rhythmic Gymnastics (Gymnastics),84
2000,Rowing,547
2000,Sailing,402
2000,Shooting,408
2000,Softball (Baseball/Softball),120
2000,Swimming (Aquatics),954
2000,Table Tennis,171
2000,Taekwondo,102
2000,Tennis,182
2000,Trampolining (Gymnastics),24
2000,Triathlon,100
2000,Volleyball (Volleyball),284
2000,Water Polo (Aquatics),233
2000,Weightlifting,246
2000,Wrestling,314
2002,Alpine Skiing (Skiing),280
2002,Biathlon,190
2002,Bobsleigh (Bobsleigh),195
2002,Cross Country Skiing (Skiing),256
2002,Curling,98
2002,Figure Skating (Skating),146
2002,Freestyle Skiing (Skiing),105
2002,Ice Hockey (Ice Hockey),473
2002,Luge,110
2002,Nordic Combined (Skiing),53
2002,Short Track Speed Skating (Skating),113
2002,Skeleton (Bobsleigh),39
2002,Ski Jumping (Skiing),71
2002,Snowboarding (Skiing),118
2002,Speed Skating (Skating),166
2004,Archery,128
2004,Artistic Gymnastics (Gymnastics),196
2004,Artistic Swimming (Aquatics),101
2004,Athletics,2029
2004,Badminton,172
2004,Baseball (Baseball/Softball),191
2004,Basketball (Basketball),288
2004,Beach Volleyball (Volleyball),96
2004,Boxing,280
2004,Canoe Slalom (Canoeing),84
2004,Canoe Sprint (Canoeing),244
2004,Cycling Mountain Bike (Cycling),80
2004,Cycling Road (Cycling),213
2004,Cycling Track (Cycling),171
2004,Diving (Aquatics),129
2004,Equestrian Dressage (Equestrian),51
2004,Equestrian Eventing (Equestrian),75
2004,Equestrian Jumping (Equestrian),77
2004,Fencing,222
2004,Football (Football),441
2004,Handball,328
2004,Hockey,352
2004,Judo,384
2004,Modern Pentathlon,64
2004,Rhythmic Gymnastics (Gymnastics),84
2004,Rowing,558
2004,Sailing,400
2004,Shooting,390
2004,Softball (Baseball/Softball),119
2004,Swimming (Aquatics),937
2004,Table Tennis,172
2004,Taekwondo,124
2004,Tennis,171
2004,Trampolining (Gymnastics),32
2004,Triathlon,100
2004,Volleyball (Volleyball),283
2004,Water Polo (Aquatics),258
2004,Weightlifting,249
2004,Wrestling,342
2006,Alpine Skiing (Skiing),288
2006,Biathlon,204
2006,Bobsleigh (Bobsleigh),151
2006,Cross Country Skiing (Skiing),303
2006,Curling,93
2006,Figure Skating (Skating),147
2006,Freestyle Skiing (Skiing),119
2006,Ice Hockey (Ice Hockey),443
2006,Luge,109
2006,Nordic Combined (Skiing),59
2006,Short Track Speed Skating (Skating),108
2006,Skeleton (Bobsleigh),42
2006,Ski Jumping (Skiing),78
2006,Snowboarding (Skiing),187
2006,Speed Skating (Skating),174
2008,Archery,128
2008,Artistic Gymnastics (Gymnastics),196
2008,Artistic Swimming (Aquatics),102
2008,Athletics,2092
2008,Badminton,173
2008,Baseball (Baseball/Softball),192
2008,Basketball (Basketball),287
2008,Beach Volleyball (Volleyball),96
2008,Boxing,283
2008,Canoe Slalom (Canoeing),82
2008,Canoe Sprint (Canoeing),248
2008,Cycling BMX Racing (Cycling),48
2008,Cycling Mountain Bike (Cycling),80
2008,Cycling Road (Cycling),211
2008,Cycling Track (Cycling),169
2008,Diving (Aquatics),140
2008,Equestrian Dressage (Equestrian),47
2008,Equestrian Eventing (Equestrian),69
2008,Equestrian Jumping (Equestrian),77
2008,Fencing,234
2008,Football (Football),475
2008,Handball,344
2008,Hockey,404
2008,Judo,386
2008,Marathon Swimming (Aquatics),42
2008,Modern Pentathlon,72
2008,Rhythmic Gymnastics (Gymnastics),95
2008,Rowing,544
2008,Sailing,400
2008,Shooting,390
2008,Softball (Baseball/Softball),120
2008,Swimming (Aquatics),981
2008,Table Tennis,171
2008,Taekwondo,127
2008,Tennis,172
2008,Trampolining (Gymnastics),32
2008,Triathlon,110
2008,Volleyball (Volleyball),284
2008,Water Polo (Aquatics),257
2008,Weightlifting,253
2008,Wrestling,343
2010,3x3 Basketball (Basketball),3
2010,Alpine Skiing (Skiing),293
2010,Archery,9
2010,Artistic Gymnastics (Gymnastics),18
2010,Athletics,84
2010,Badminton,5
2010,Biathlon,204
2010,Bobsleigh (Bobsleigh),159
2010,Boxing,15
2010,Canoe Sprint (Canoeing),9
2010,Cross Country Skiing (Skiing),290
2010,Curling,95
2010,Cycling Road (Cycling),8
2010,Diving (Aquatics),12
2010,Equestrian Jumping (Equestrian),2
2010,Fencing,10
2010,Figure Skating (Skating),146
2010,Freestyle Skiing (Skiing),172
2010,Handball,3
2010,Hockey,8
2010,Ice Hockey (Ice Hockey),429
2010,Judo,11
2010,Luge,107
2010,Modern Pentathlon,9
2010,Nordic Combined (Skiing),52
2010,Rhythmic Gymnastics (Gymnastics),6
2010,Rowing,10
2010,Sailing,10
2010,Shooting,9
2010,Short Track Speed Skating (Skating),110
