athlete_id,name,games,sport,event,medal
161,Emmett Ramsey,1996 Summer,Athletics,Men's Long Jump,Silver
162,Maggie Curtis,1996 Summer,Athletics,Women's Long Jump,Bronze
163,Dewey Caldwell,1996 Summer,Gymnastics,Men's Floor Exercise,Gold
164,Virgil Maxwell,1996 Summer,Gymnastics,Men's Vault,Silver
165,Blanche Santiago,1996 Summer,Gymnastics,Women's Balance Beam,Bronze
166,Edmund Hammond,1996 Summer,Gymnastics,Men's Parallel Bars,Gold
167,Fannie Buchanan,1996 Summer,Gymnastics,Women's Floor Exercise,Silver
168,Percy Castro,1996 Summer,Gymnastics,Women's Uneven Bars,Bronze
169,Herbert McKenzie,1996 Summer,Basketball,Men's Basketball,Gold
170,Clifford Bush,1996 Summer,Basketball,Women's Basketball,Silver
171,Max Lawrence,1996 Summer,Football,Men's Football,Bronze
172,Lela Daniel,1996 Summer,Football,Women's Football,Gold
173,Bradford Pierce,1996 Summer,Tennis,Men's Singles,Silver
174,Nettie Garza,1996 Summer,Tennis,Women's Singles,Bronze
175,Ramon Hodges,1996 Summer,Tennis,Mixed Doubles,Gold
176,Wade Webb,1996 Summer,Boxing,Men's Lightweight,Silver
177,Gordon Underwood,1996 Summer,Boxing,Men's Heavyweight,Bronze
178,Susie Moody,1996 Summer,Boxing,Women's Flyweight,Gold
179,Viola Sandoval,1996 Summer,Judo,Women's Lightweight,Silver
180,Olga Higgins,1996 Summer,Judo,Women's Heavyweight,Bronze
181,Edmund Black,2016 Summer,Rowing,Men's Single Sculls,Gold
182,Lois Watts,2016 Summer,Rowing,Women's Single Sculls,Silver
183,Rodney Hudson,2016 Summer,Cycling,Men's Road Race,Bronze
184,Dolores Santiago,2016 Summer,Cycling,Women's Road Race,Gold
185,Eddie Norton,2016 Summer,Archery,Men's Individual,Silver
186,Stella Luna,2016 Summer,Archery,Women's Individual,Bronze
187,Morris Duncan,2016 Summer,Weightlifting,Men's 70kg,Gold
188,Ernestine Newman,2016 Summer,Weightlifting,Women's 60kg,Silver
189,Felipe Neal,2012 Summer,Rowing,Men's Single Sculls,Bronze
190,Lydia Tate,2012 Summer,Rowing,Women's Single Sculls,Gold
191,Randolph Chandler,2012 Summer,Cycling,Men's Road Race,Silver
192,Lena Sherman,2012 Summer,Cycling,Women's Road Race,Bronze
193,Malcolm Cross,2012 Summer,Archery,Men's Individual,Gold
194,Cora Vaughn,2012 Summer,Archery,Women's Individual,Silver
195,Sidney Reeves,2012 Summer,Weightlifting,Men's 70kg,Bronze
196,Lucille Barton,2012 Summer,Weightlifting,Women's 60kg,Gold
197,Robin Powers,2008 Summer,Rowing,Men's Single Sculls,Silver
198,Janie Dawson,2008 Summer,Rowing,Women's Single Sculls,Bronze
199,Corey Newman,2008 Summer,Cycling,Men's Road Race,Gold
200,Irma Stone,2008 Summer,Cycling,Women's Road Race,Silver
201,Tommy Ball,2008 Summer,Archery,Men's Individual,Bronze
202,Ora McCarthy,2008 Summer,Archery,Women's Individual,Gold
203,Erik Steele,2008 Summer,Weightlifting,Men's 70kg,Silver
204,Harriet Phelps,2008 Summer,Weightlifting,Women's 60kg,Bronze
205,Edwin Summers,2004 Summer,Rowing,Men's Single Sculls,Gold
206,Fern Pearson,2004 Summer,Rowing,Women's Single Sculls,Silver
207,Sherman Jennings,2004 Summer,Cycling,Men's Road Race,Bronze
208,Nellie Mack,2004 Summer,Cycling,Women's Road Race,Gold
209,Darrell Stephens,2004 Summer,Archery,Men's Individual,Silver
210,Della Warner,2004 Summer,Archery,Women's Individual,Bronze
211,Doug Cannon,2004 Summer,Weightlifting,Men's 70kg,Gold
212,Edith Bailey,2004 Summer,Weightlifting,Women's 60kg,Silver
213,Chad Santos,2000 Summer,Rowing,Men's Single Sculls,Bronze
214,Estella Woods,2000 Summer,Rowing,Women's Single Sculls,Gold
215,Garland Maxwell,2000 Summer,Cycling,Men's Road Race,Silver
216,Caroline Rose,2000 Summer,Cycling,Women's Road Race,Bronze
217,Reuben Owen,2000 Summer,Archery,Men's Individual,Gold
218,Tillie Lopez,2000 Summer,Archery,Women's Individual,Silver
219,Santiago Cannon,2000 Summer,Weightlifting,Men's 70kg,Bronze
220,Kathryn Burns,2000 Summer,Weightlifting,Women's 60kg,Gold
221,Grover Willis,1996 Summer,Rowing,Men's Single Sculls,Silver
222,Iris West,1996 Summer,Rowing,Women's Single Sculls,Bronze
223,Grady Lamb,1996 Summer,Cycling,Men's Road Race,Gold
224,Lottie Sparks,1996 Summer,Cycling,Women's Road Race,Silver
225,Guy Franklin,1996 Summer,Archery,Men's Individual,Bronze
226,Sophia Gilbert,1996 Summer,Archery,Women's Individual,Gold
227,Cornelius Hammond,1996 Summer,Weightlifting,Men's 70kg,Silver
228,Aurora Chavez,1996 Summer,Weightlifting,Women's 60kg,Bronze
229,Caleb Reyes,2020 Summer,Swimming,Men's 100m Freestyle,Gold
230,Maya Patel,2020 Summer,Swimming,Women's 200m Freestyle,Silver
231,Ethan Johnson,2020 Summer,Swimming,Men's 400m Freestyle,Bronze
232,Zoe Williams,2020 Summer,Swimming,Women's 100m Backstroke,Gold
233,Noah Garcia,2020 Summer,Swimming,Men's 200m Backstroke,Silver
234,Ava Smith,2020 Summer,Swimming,Women's 200m Butterfly,Bronze
235,Liam Brown,2020 Summer,Athletics,Men's 100m,Gold
236,Emma Wilson,2020 Summer,Athletics,Men's 200m,Silver
237,Oliver Davis,2020 Summer,Athletics,Women's 100m,Bronze
238,Charlotte Moore,2020 Summer,Athletics,Women's 200m,Gold
239,Lucas Miller,2020 Summer,Athletics,Men's Long Jump,Silver
240,Sophia Rodriguez,2020 Summer,Athletics,Women's Long Jump,Bronze
241,Mason Lopez,2020 Summer,Gymnastics,Men's Floor Exercise,Gold
242,Isabella Taylor,2020 Summer,Gymnastics,Men's Vault,Silver
243,Aiden Lee,2020 Summer,Gymnastics,Women's Balance Beam,Bronze
244,Mia Martinez,2020 Summer,Gymnastics,Men's Parallel Bars,Gold
245,Elijah Clark,2020 Summer,Gymnastics,Women's Floor Exercise,Silver
246,Abigail Lewis,2020 Summer,Gymnastics,Women's Uneven Bars,Bronze
247,Jackson Walker,2020 Summer,Basketball,Men's Basketball,Gold
248,Amelia Green,2020 Summer,Basketball,Women's Basketball,Silver
249,Carter Baker,2020 Summer,Football,Men's Football,Bronze
250,Harper Turner,2020 Summer,Football,Women's Football,Gold
251,Owen Phillips,2020 Summer,Tennis,Men's Singles,Silver
252,Evelyn Torres,2020 Summer,Tennis,Women's Singles,Bronze
253,Sebastian Evans,2020 Summer,Tennis,Mixed Doubles,Gold
254,Aria Collins,2020 Summer,Boxing,Men's Lightweight,Silver
255,Leo Murphy,2020 Summer,Boxing,Men's Heavyweight,Bronze
256,Lily Nelson,2020 Summer,Boxing,Women's Flyweight,Gold
257,Grayson King,2020 Summer,Judo,Women's Lightweight,Silver
258,Scarlett Hill,2020 Summer,Judo,Women's Heavyweight,Bronze
259,Wyatt Scott,2020 Summer,Rowing,Men's Single Sculls,Gold
260,Chloe Nguyen,2020 Summer,Rowing,Women's Single Sculls,Silver
261,Julian Hayes,2020 Summer,Cycling,Men's Road Race,Bronze
262,Layla Foster,2020 Summer,Cycling,Women's Road Race,Gold
263,Gabriel Ross,2020 Summer,Archery,Men's Individual,Silver
264,Audrey Stewart,2020 Summer,Archery,Women's Individual,Bronze
265,Daniel Reed,2020 Summer,Weightlifting,Men's 70kg,Gold
266,Penelope Morgan,2020 Summer,Weightlifting,Women's 60kg,Silver
267,Joseph Price,2020 Summer,Table Tennis,Men's Singles,Bronze
268,Madelyn Bennett,2020 Summer,Table Tennis,Women's Singles,Gold
269,Matthew Diaz,2020 Summer,Skateboarding,Men's Street,Silver
270,Victoria Rivera,2020 Summer,Skateboarding,Women's Street,Bronze
271,Samuel Cooper,2020 Summer,Surfing,Men's Shortboard,Gold
272,Rylee Rogers,2020 Summer,Surfing,Women's Shortboard,Silver
273,David Peterson,2020 Summer,Sport Climbing,Men's Combined,Bronze
274,Grace Brooks,2020 Summer,Sport Climbing,Women's Combined,Gold
275,Benjamin Wood,2020 Summer,Karate,Men's Kumite,Silver
276,Brooklyn Powell,2020 Summer,Karate,Women's Kumite,Bronze 
