year,country,total
1928,Estonia,9
1928,Finland,29
1928,France,48
1928,Germany,74
1928,Haiti,1
1928,Hungary,20
1928,India,14
1928,Ireland,1
1928,Italy,71
1928,Japan,8
1928,Netherlands,52
1928,New Zealand,1
1928,Norway,24
1928,Philippines,1
1928,Poland,18
1928,Portugal,6
1928,Serbia,12
1928,South Africa,6
1928,Spain,3
1928,Sweden,53
1928,Switzerland,40
1928,UK,57
1928,United States of America,98
1928,Uruguay,17
1932,Argentina,4
1932,Australia,5
1932,Austria,7
1932,Canada,58
1932,Czech Republic,4
1932,Denmark,9
1932,Finland,32
1932,France,39
1932,Germany,52
1932,Hungary,35
1932,India,15
1932,Ireland,2
1932,Italy,77
1932,Japan,31
1932,Latvia,1
1932,Mexico,2
1932,Netherlands,12
1932,New Zealand,2
1932,Norway,10
1932,Philippines,3
1932,Poland,19
1932,South Africa,5
1932,Spain,1
1932,Sweden,34
1932,Switzerland,3
1932,UK,34
1932,United States of America,215
1932,Uruguay,1
1936,Argentina,11
1936,Australia,1
1936,Austria,55
1936,Belgium,13
1936,Canada,35
1936,Czech Republic,17
1936,Denmark,6
1936,Egypt,5
1936,Estonia,7
1936,Finland,35
1936,France,45
1936,Germany,215
1936,Hungary,43
1936,India,19
1936,Italy,71
1936,Japan,21
1936,Latvia,2
1936,Mexico,16
1936,Netherlands,37
1936,New Zealand,1
1936,Norway,46
1936,Philippines,1
1936,Poland,9
1936,Portugal,3
1936,Romania,1
1936,Serbia,1
1936,South Africa,1
1936,Sweden,44
1936,Switzerland,58
1936,Turkey,2
1936,UK,54
1936,United States of America,108
1948,Argentina,12
1948,Australia,16
1948,Austria,12
1948,Belgium,21
1948,Brazil,10
1948,Canada,21
1948,Cuba,2
1948,Czech Republic,37
1948,Denmark,48
1948,Egypt,5
1948,Finland,39
1948,France,74
1948,Hungary,63
1948,India,20
1948,Iran,1
1948,Italy,64
1948,Jamaica,3
1948,Mexico,9
1948,Netherlands,42
1948,Norway,31
1948,Panama,2
1948,Peru,1
1948,Poland,1
1948,Portugal,5
1948,Puerto Rico,1
1948,Serbia,16
1948,South Africa,4
1948,South Korea,2
1948,Spain,3
1948,Sri Lanka,1
1948,Sweden,86
1948,Switzerland,60
1948,Trinidad,1
1948,Turkey,12
1948,UK,59
1948,United States of America,164
1948,Uruguay,3
1952,Argentina,6
1952,Australia,20
1952,Austria,11
1952,Belgium,8
1952,Brazil,3
1952,Bulgaria,1
1952,Canada,21
1952,Chile,4
1952,Czech Republic,25
1952,Denmark,9
1952,Egypt,1
1952,Finland,52
1952,France,41
1952,Germany,52
1952,Hungary,103
1952,India,15
1952,Iran,7
1952,Ireland,1
1952,Italy,56
1952,Jamaica,8
1952,Japan,12
1952,Luxembourg,1
1952,Mexico,1
1952,Netherlands,21
1952,New Zealand,3
1952,Norway,32
1952,Poland,4
1952,Portugal,2
1952,Romania,4
1952,Russia,117
1952,Serbia,24
1952,South Africa,14
1952,South Korea,2
1952,Spain,1
1952,Sweden,92
1952,Switzerland,39
1952,Trinidad,2
1952,Turkey,3
1952,UK,32
1952,United States of America,160
1952,Uruguay,14
1952,Venezuela,1
1956,Argentina,2
1956,Australia,61
1956,Austria,16
1956,Bahamas,2
1956,Belgium,2
1956,Brazil,1
1956,Bulgaria,18
1956,Canada,36
1956,Chile,4
1956,Czech Republic,7
1956,Denmark,5
1956,Finland,38
1956,France,33
1956,Germany,42
1956,Greece,1
1956,Hungary,66
1956,Iceland,1
1956,India,17
1956,Iran,5
1956,Ireland,5
1956,Italy,50
1956,Japan,25
1956,Mexico,2
1956,New Zealand,3
1956,Norway,7
1956,Pakistan,14
1956,Poland,20
1956,Romania,19
1956,Russia,206
1956,Serbia,23
1956,South Africa,7
1956,South Korea,2
1956,Sweden,44
1956,Switzerland,10
1956,Turkey,7
1956,UK,39
1956,United States of America,144
1956,Uruguay,12
1960,Argentina,4
1960,Australia,37
1960,Austria,9
1960,Belgium,4
1960,Brazil,13
1960,Bulgaria,7
1960,Canada,30
1960,Czech Republic,23
1960,Denmark,23
1960,Ethiopia,1
1960,Finland,19
1960,France,15
1960,Germany,98
1960,Ghana,1
1960,Greece,3
1960,Hungary,66
1960,India,13
1960,Iran,4
1960,Iraq,1
1960,Italy,89
1960,Japan,29
1960,Mexico,1
1960,Morocco,1
1960,Netherlands,5
1960,New Zealand,3
1960,Norway,11
1960,Pakistan,14
1960,Poland,32
1960,Portugal,2
1960,Romania,15
1960,Russia,211
1960,Serbia,17
1960,South Africa,3
1960,Spain,14
1960,Sweden,16
1960,Switzerland,14
1960,Syria,2
1960,Taiwan,1
1960,Trinidad,5
1960,Turkey,9
1960,UK,28
1960,United States of America,139
1960,Venezuela,1
1964,Argentina,1
1964,Australia,42
1964,Austria,17
1964,Bahamas,2
1964,Belgium,3
1964,Brazil,12
1964,Bulgaria,10
1964,Canada,12
1964,Cuba,1
1964,Czech Republic,71
1964,Denmark,12
1964,Ethiopia,1
1964,Finland,20
1964,France,38
1964,Germany,126
1964,Ghana,1
1964,Hungary,56
1964,India,15
1964,Iran,2
1964,Ireland,1
1964,Italy,61
1964,Japan,61
1964,Kenya,1
1964,Mexico,1
1964,Netherlands,32
1964,New Zealand,6
1964,Nigeria,1
1964,North Korea,1
1964,Norway,15
1964,Pakistan,16
1964,Philippines,1
1964,Poland,46
1964,Romania,16
1964,Russia,220
1964,Serbia,15
1964,South Korea,3
1964,Sweden,43
1964,Switzerland,6
1964,Trinidad,6
1964,Tunisia,2
1964,Turkey,6
1964,UK,30
1964,United States of America,160
1964,Uruguay,1
1968,Argentina,2
1968,Australia,50
1968,Austria,20
1968,Belgium,3
1968,Brazil,4
1968,Bulgaria,26
1968,Cameroon,1
1968,Canada,30
1968,Cuba,10
1968,Czech Republic,50
1968,Denmark,17
1968,Ethiopia,2
1968,Finland,12
1968,France,36
1968,Germany,118
1968,Greece,1
1968,Hungary,81
1968,India,16
1968,Iran,5
1968,Italy,41
1968,Jamaica,1
1968,Japan,63
1968,Kenya,12
1968,Mexico,9
1968,Mongolia,4
1968,Netherlands,23
1968,New Zealand,7
1968,Norway,28
1968,Pakistan,13
1968,Poland,37
1968,Romania,25
1968,Russia,224
1968,Serbia,29
1968,South Korea,2
1968,Sweden,25
1968,Switzerland,22
1968,Taiwan,1
1968,Tunisia,2
1968,Turkey,2
1968,UK,19
1968,Uganda,2
1968,United States of America,157
1968,Venezuela,1
1972,Argentina,1
1972,Australia,20
1972,Austria,8
1972,Belgium,2
1972,Brazil,2
1972,Bulgaria,22
1972,Canada,11
1972,Colombia,3
1972,Cuba,22
1972,Czech Republic,49
1972,Denmark,1
1972,Ethiopia,2
1972,Finland,20
1972,France,25
1972,Germany,275
1972,Ghana,1
1972,Greece,2
1972,Hungary,81
1972,India,14
1972,Iran,3
1972,Italy,34
1972,Jamaica,1
1972,Japan,59
1972,Kenya,12
1972,Mexico,1
1972,Mongolia,1
1972,Netherlands,15
1972,New Zealand,14
1972,Niger,1
1972,Nigeria,1
1972,North Korea,15
1972,Norway,25
1972,Pakistan,15
1972,Poland,47
1972,Romania,40
1972,Russia,256
1972,Serbia,18
1972,South Korea,1
1972,Spain,2
1972,Sweden,26
1972,Switzerland,25
1972,Tunisia,1
1972,Turkey,1
1972,UK,29
1972,Uganda,2
1972,United States of America,178
1976,Australia,23
1976,Austria,8
1976,Belgium,9
1976,Bermuda,1
1976,Brazil,3
1976,Bulgaria,39
1976,Canada,23
1976,Cuba,24
1976,Czech Republic,34
1976,Denmark,8
1976,Finland,22
1976,France,21
1976,Germany,332
1976,Hungary,55
1976,Iran,2
1976,Italy,35
1976,Jamaica,2
1976,Japan,41
1976,Liechtenstein,2
1976,Mexico,2
1976,Mongolia,1
1976,Netherlands,20
1976,New Zealand,25
1976,North Korea,2
1976,Norway,16
1976,Pakistan,16
1976,Poland,73
1976,Portugal,2
1976,Puerto Rico,1
1976,Romania,55
1976,Russia,340
1976,Serbia,19
1976,South Korea,17
1976,Spain,6
1976,Sweden,12
1976,Switzerland,19
1976,Thailand,1
1976,Trinidad,1
1976,UK,33
1976,United States of America,166
1976,Venezuela,1
1980,Australia,12
1980,Austria,13
1980,Belgium,1
1980,Brazil,9
1980,Bulgaria,91
1980,Canada,2
1980,Cuba,20
1980,Czech Republic,52
1980,Denmark,8
1980,Ethiopia,4
1980,Finland,21
1980,France,30
1980,Germany,308
1980,Greece,5
1980,Guyana,1
1980,Hungary,63
1980,India,16
1980,Ireland,3
1980,Italy,40
1980,Jamaica,3
1980,Japan,1
1980,Liechtenstein,4
1980,Mexico,10
1980,Mongolia,4
1980,Netherlands,10
1980,North Korea,5
1980,Norway,16
1980,Poland,50
1980,Romania,68
1980,Russia,484
1980,Serbia,57
1980,Spain,24
1980,Sweden,41
1980,Switzerland,11
1980,Tanzania,2
1980,UK,46
1980,Uganda,1
1980,United States of America,30
1980,Venezuela,1
1980,Zimbabwe,15
1984,Algeria,2
1984,Australia,52
1984,Austria,4
1984,Belgium,5
1984,Brazil,36
1984,Cameroon,1
1984,Canada,91
1984,China,74
1984,Colombia,1
1984,Czech Republic,28
1984,Denmark,13
1984,Dominican Republic,1
1984,Egypt,1
1984,Finland,31
1984,France,70
1984,Germany,199
1984,Greece,2
1984,Iceland,1
1984,Ireland,1
1984,Italy,65
1984,Ivory Coast,1
1984,Jamaica,7
1984,Japan,50
1984,Kenya,3
1984,Liechtenstein,2
1984,Mexico,6
1984,Morocco,2
1984,Netherlands,41
1984,New Zealand,23
1984,Nigeria,5
1984,Norway,19
1984,Pakistan,16
1984,Peru,1
1984,Portugal,3
1984,Puerto Rico,2
1984,Romania,106
1984,Russia,56
1984,Serbia,88
1984,South Korea,41
1984,Spain,19
1984,Sweden,64
1984,Switzerland,21
1984,Syria,1
1984,Taiwan,1
1984,Thailand,1
1984,Turkey,3
1984,UK,74
1984,United States of America,361
1984,Venezuela,3
1984,Zambia,1
1988,Argentina,13
1988,Australia,35
1988,Austria,13
1988,Belgium,2
1988,Brazil,23
1988,Bulgaria,41
1988,Canada,29
1988,Chile,1
1988,China,52
1988,Colombia,1
1988,Costa Rica,1
1988,Curacao,1
1988,Czech Republic,16
1988,Denmark,7
1988,Djibouti,1
1988,Finland,38
1988,France,31
1988,Germany,342
1988,Greece,1
1988,Hungary,44
1988,Indonesia,3
1988,Iran,1
1988,Italy,37
1988,Jamaica,5
1988,Japan,21
1988,Kenya,9
1988,Liechtenstein,1
1988,Mexico,2
1988,Mongolia,1
1988,Morocco,3
1988,Netherlands,52
1988,New Zealand,24
1988,Norway,33
1988,Pakistan,1
1988,Peru,12
1988,Philippines,1
1988,Poland,21
1988,Portugal,1
1988,Romania,58
1988,Russia,366
1988,Senegal,1
1988,Serbia,69
1988,South Korea,77
1988,Spain,5
1988,Suriname,1
1988,Sweden,46
1988,Switzerland,28
1988,Thailand,1
1988,Turkey,2
1988,UK,53
1988,United States of America,214
1988,"Virgin Islands, US",1
1992,Algeria,2
1992,Argentina,2
1992,Australia,57
1992,Austria,35
1992,Bahamas,1
1992,Belgium,3
1992,Brazil,14
1992,Bulgaria,17
1992,Canada,80
1992,China,85
1992,Colombia,1
1992,Croatia,15
1992,Cuba,69
1992,Czech Republic,35
1992,Denmark,14
1992,Estonia,3
1992,Ethiopia,3
1992,Finland,20
1992,France,69
1992,Germany,236
1992,Ghana,20
1992,Greece,2
1992,Hungary,45
1992,Individual Olympic Athletes,3
1992,Indonesia,6
1992,Iran,3
1992,Ireland,2
1992,Israel,2
1992,Italy,66
1992,Jamaica,4
1992,Japan,59
1992,Kenya,8
1992,Latvia,3
1992,Lithuania,13
1992,Luxembourg,2
1992,Malaysia,2
1992,Mexico,1
1992,Mongolia,2
1992,Morocco,3
1992,Namibia,2
1992,Netherlands,37
1992,New Zealand,16
1992,Nigeria,11
1992,North Korea,11
1992,Norway,51
1992,Pakistan,16
1992,Peru,1
1992,Philippines,1
1992,Poland,46
1992,Puerto Rico,1
1992,Qatar,1
1992,Romania,53
1992,Russia,279
1992,Slovenia,6
1992,South Africa,3
1992,South Korea,56
1992,Spain,70
1992,Suriname,1
1992,Sweden,42
1992,Switzerland,8
1992,Taiwan,20
1992,Thailand,1
1992,Turkey,6
1992,UK,50
1992,United States of America,238
1994,Australia,4
1994,Austria,12
1994,Belarus,2
1994,Canada,37
1994,China,3
1994,Finland,30
1994,France,11
1994,Germany,40
1994,Italy,32
1994,Japan,10
1994,Kazakhstan,3
1994,Netherlands,4
1994,Norway,34
1994,Russia,36
1994,Slovenia,3
1994,South Korea,9
1994,Sweden,24
1994,Switzerland,16
1994,UK,3
1994,Ukraine,2
1994,United States of America,19
1994,Uzbekistan,1
1996,Algeria,3
1996,Argentina,20
1996,Armenia,2
1996,Australia,132
1996,Austria,3
1996,Azerbaijan,1
1996,Bahamas,5
1996,Belarus,23
1996,Belgium,6
1996,Brazil,63
1996,Bulgaria,21
1996,Burundi,1
1996,Canada,50
1996,China,107
1996,Costa Rica,1
1996,Croatia,28
1996,Cuba,55
1996,Czech Republic,13
1996,Denmark,23
1996,Ecuador,1
1996,Ethiopia,3
1996,Finland,4
1996,France,51
1996,Georgia,2
1996,Germany,124
1996,Greece,8
1996,Hungary,43
1996,India,1
1996,Indonesia,6
1996,Iran,3
1996,Ireland,4
1996,Israel,1
1996,Italy,71
1996,Jamaica,16
1996,Japan,42
1996,Kazakhstan,11
1996,Kenya,8
1996,Latvia,1
1996,Lithuania,11
1996,Malaysia,3
1996,Mexico,1
1996,Moldova,3
1996,Mongolia,1
1996,Morocco,2
1996,Mozambique,1
1996,Namibia,2
1996,Netherlands,73
1996,New Zealand,9
1996,Nigeria,24
1996,North Korea,5
1996,Norway,23
1996,Philippines,1
1996,Poland,22
1996,Portugal,3
1996,Puerto Rico,1
1996,Romania,38
1996,Russia,115
1996,Serbia,26
1996,Slovakia,3
1996,Slovenia,2
1996,South Africa,5
1996,South Korea,66
1996,Spain,66
1996,Sweden,31
1996,Switzerland,11
1996,Syria,1
1996,Taiwan,1
1996,Thailand,2
1996,Tonga,1
1996,Trinidad,2
1996,Tunisia,1
1996,Turkey,6
1996,UK,26
1996,Uganda,1
1996,Ukraine,34
1996,United States of America,259
1996,Uzbekistan,2
1996,Zambia,1
1998,Australia,1
1998,Austria,20
1998,Belarus,2
1998,Belgium,1
1998,Bulgaria,1
1998,Canada,49
1998,China,14
1998,Czech Republic,23
1998,Denmark,5
1998,Finland,58
1998,France,15
1998,Germany,44
1998,Italy,17
1998,Japan,13
1998,Kazakhstan,2
1998,Netherlands,11
1998,Norway,44
1998,Russia,52
1998,South Korea,12
1998,Sweden,7
1998,Switzerland,14
1998,UK,4
1998,Ukraine,1
1998,United States of America,34
2000,Algeria,5
2000,Argentina,20
2000,Armenia,1
2000,Australia,183
2000,Austria,4
2000,Azerbaijan,3
2000,Bahamas,11
2000,Barbados,1
2000,Belarus,22
2000,Belgium,7
2000,Brazil,48
2000,Bulgaria,13
2000,Cameroon,18
2000,Canada,31
2000,Chile,17
2000,China,79
2000,Colombia,1
2000,Costa Rica,2
2000,Croatia,10
2000,Cuba,65
2000,Czech Republic,9
2000,Denmark,25
2000,Estonia,3
2000,Ethiopia,8
2000,Finland,5
2000,France,66
2000,Georgia,6
2000,Germany,118
2000,Greece,18
2000,Hungary,53
2000,Iceland,1
2000,India,1
2000,Indonesia,8
2000,Iran,4
2000,Ireland,1
2000,Israel,1
2000,Italy,65
2000,Jamaica,23
2000,Japan,44
2000,Kazakhstan,7
2000,Kenya,7
2000,Kuwait,1
2000,Kyrgyzstan,1
2000,Latvia,3
2000,Lithuania,17
2000,Macedonia,1
2000,Mexico,6
2000,Moldova,2
2000,Morocco,5
2000,Mozambique,1
2000,Netherlands,79
2000,New Zealand,4
2000,Nigeria,8
2000,North Korea,4
2000,Norway,43
2000,Poland,24
2000,Portugal,2
2000,Qatar,1
2000,Romania,46
2000,Russia,187
2000,Saudi Arabia,2
2000,Serbia,25
2000,Slovakia,6
2000,Slovenia,3
2000,South Africa,5
2000,South Korea,73
2000,Spain,42
2000,Sri Lanka,1
2000,Sweden,32
2000,Switzerland,14
2000,Taiwan,5
2000,Thailand,3
2000,Trinidad,2
2000,Turkey,5
2000,UK,54
2000,Ukraine,35
2000,United States of America,241
2000,Uruguay,1
2000,Uzbekistan,4
2000,Vietnam,1
2002,Australia,2
2002,Austria,20
2002,Belarus,1
2002,Bulgaria,3
2002,Canada,74
2002,China,16
2002,Croatia,4
2002,Czech Republic,3
2002,Estonia,3
2002,Finland,13
2002,France,15
2002,Germany,61
2002,Italy,21
2002,Japan,2
2002,Netherlands,8
2002,Norway,41
2002,Poland,2
2002,Russia,38
2002,Slovenia,4
2002,South Korea,7
2002,Sweden,26
2002,Switzerland,24
2002,UK,6
2002,United States of America,84
2004,Argentina,49
2004,Australia,157
2004,Austria,8
2004,Azerbaijan,5
2004,Bahamas,2
2004,Belarus,15
2004,Belgium,3
2004,Brazil,40
2004,Bulgaria,17
2004,Cameroon,1
2004,Canada,17
2004,Chile,4
2004,China,96
2004,Colombia,2
2004,Croatia,21
2004,Cuba,62
2004,Czech Republic,13
2004,Denmark,29
2004,Dominican Republic,1
2004,Egypt,5
2004,Eritrea,1
2004,Estonia,3
2004,Ethiopia,7
2004,Finland,2
2004,France,53
2004,Georgia,4
2004,Germany,149
2004,Greece,31
2004,Hungary,40
2004,India,1
2004,Indonesia,5
2004,Iran,6
2004,Israel,2
2004,Italy,104
2004,Jamaica,13
2004,Japan,93
2004,Kazakhstan,8
2004,Kenya,7
2004,Latvia,4
2004,Lithuania,3
2004,Mexico,4
2004,Mongolia,1
2004,Morocco,3
2004,Netherlands,77
2004,New Zealand,6
2004,Nigeria,8
2004,North Korea,5
2004,Norway,7
2004,Paraguay,17
2004,Poland,12
2004,Portugal,3
2004,Romania,39
2004,Russia,189
2004,Serbia,13
2004,Slovakia,10
2004,Slovenia,5
2004,South Africa,10
2004,South Korea,52
2004,Spain,30
2004,Sweden,12
2004,Switzerland,7
2004,Syria,1
2004,Taiwan,9
2004,Thailand,8
2004,Trinidad,1
2004,Turkey,10
2004,UK,57
2004,Ukraine,47
2004,United Arab Emirates,1
2004,United States of America,263
2004,Uzbekistan,5
2004,Venezuela,2
2004,Zimbabwe,3
2006,Australia,2
2006,Austria,30
2006,Belarus,1
2006,Bulgaria,1
2006,Canada,69
2006,China,13
2006,Croatia,3
2006,Czech Republic,27
2006,Estonia,3
2006,Finland,41
2006,France,15
2006,Germany,54
2006,Italy,25
2006,Japan,1
2006,Latvia,1
2006,Netherlands,13
2006,Norway,23
2006,Poland,2
2006,Russia,41
2006,Slovakia,1
2006,South Korea,19
2006,Sweden,64
2006,Switzerland,21
2006,UK,1
2006,Ukraine,3
2006,United States of America,52
2008,Afghanistan,1
2008,Algeria,2
2008,Argentina,51
2008,Armenia,5
2008,Australia,149
2008,Austria,3
2008,Azerbaijan,6
2008,Bahamas,7
2008,Belarus,25
2008,Belgium,5
2008,Brazil,83
2008,Bulgaria,5
2008,Cameroon,1
2008,Canada,36
2008,Chile,1
2008,China,184
2008,Colombia,3
2008,Croatia,5
2008,Cuba,53
2008,Czech Republic,8
2008,Denmark,19
2008,Dominican Republic,2
2008,Ecuador,1
2008,Egypt,2
2008,Estonia,3
2008,Ethiopia,7
2008,Finland,5
2008,France,78
2008,Georgia,7
2008,Germany,99
2008,Greece,6
2008,Hungary,27
2008,Iceland,14
2008,India,3
2008,Indonesia,8
2008,Iran,2
2008,Ireland,3
2008,Israel,1
2008,Italy,43
2008,Jamaica,15
2008,Japan,51
2008,Kazakhstan,9
2008,Kenya,16
2008,Kyrgyzstan,3
2008,Latvia,3
2008,Lithuania,5
2008,Malaysia,1
2008,Mauritius,1
2008,Mexico,5
2008,Moldova,1
2008,Mongolia,4
2008,Morocco,2
2008,Netherlands,61
2008,New Zealand,15
2008,Nigeria,24
2008,North Korea,6
2008,Norway,22
2008,Panama,1
2008,Poland,18
2008,Portugal,2
2008,Romania,23
2008,Russia,122
2008,Samoa,1
2008,Serbia,15
2008,Slovakia,10
2008,Slovenia,5
2008,South Africa,1
2008,South Korea,79
2008,Spain,71
2008,Sudan,1
2008,Sweden,7
2008,Switzerland,11
2008,Taiwan,4
2008,Tajikistan,2
2008,Thailand,6
2008,Togo,1
2008,Trinidad,6
2008,Tunisia,1
2008,Turkey,5
2008,UK,87
2008,Ukraine,26
2008,United States of America,319
2008,Uzbekistan,4
2008,Venezuela,1
2008,Vietnam,1
2008,Zimbabwe,4
2010,Argentina,4
2010,Armenia,1
2010,Australia,20
2010,Austria,27
2010,Azerbaijan,1
2010,Bahamas,2
2010,Belarus,5
2010,Belgium,3
2010,Bosnia and Herzegovina,1
2010,Brazil,3
2010,Bulgaria,2
2010,Canada,99
2010,China,44
2010,Colombia,2
2010,Croatia,5
2010,Cuba,5
2010,Czech Republic,11
2010,Denmark,1
2010,Dominican Republic,2
2010,Egypt,2
2010,Eritrea,1
2010,Estonia,1
2010,Ethiopia,1
2010,Finland,48
2010,France,28
2010,Germany,59
2010,Hungary,10
2010,India,2
2010,Indonesia,1
2010,Israel,3
2010,Italy,14
2010,Japan,13
2010,Kazakhstan,4
2010,Kenya,1
2010,Latvia,3
2010,Lithuania,2
2010,Malaysia,2
2010,Mexico,1
2010,Morocco,1
2010,Netherlands,13
2010,New Zealand,2
2010,Nigeria,2
2010,North Korea,1
2010,Norway,40
2010,Pakistan,1
2010,Poland,9
2010,Portugal,1
2010,Qatar,1
2010,Romania,6
2010,Russia,41
2010,Serbia,2
2010,Slovakia,3
2010,Slovenia,3
2010,South Africa,7
2010,South Korea,23
2010,Spain,6
2010,Sweden,21
2010,Switzerland,14
2010,Taiwan,1
2010,Thailand,4
2010,Turkey,1
2010,Turkmenistan,1
2010,UK,6
2010,Ukraine,19
2010,United States of America,101
2010,Venezuela,2
2010,Vietnam,2
2012,Afghanistan,1
2012,Algeria,1
2012,Andorra,1
2012,Argentina,19
2012,Armenia,2
2012,Australia,113
2012,Austria,9
2012,Azerbaijan,9
2012,Bahamas,4
2012,Bahrain,1
2012,Belarus,21
2012,Belgium,3
2012,Botswana,1
2012,Brazil,58
2012,Bulgaria,3
2012,Cameroon,1
2012,Canada,58
2012,China,135
2012,Colombia,9
2012,Croatia,35
2012,Cuba,15
2012,Cyprus,1
2012,Czech Republic,16
2012,Denmark,16
2012,Dominican Republic,2
2012,Egypt,4
2012,Estonia,4
2012,Ethiopia,8
2012,Finland,7
2012,France,86
2012,Gabon,1
2012,Georgia,6
2012,Germany,103
2012,Greece,3
2012,Grenada,1
2012,Guatemala,1
2012,Hungary,26
2012,India,6
2012,Indonesia,3
2012,Iran,13
2012,Ireland,6
2012,Italy,67
2012,Jamaica,26
2012,Japan,93
2012,Kazakhstan,13
2012,Kenya,13
2012,Kuwait,1
2012,Latvia,4
2012,Lithuania,5
2012,Malaysia,2
2012,Mexico,25
2012,Monaco,1
2012,Mongolia,5
2012,Montenegro,14
2012,Morocco,2
2012,Netherlands,70
2012,New Zealand,27
2012,North Korea,7
2012,Norway,18
2012,Poland,13
2012,Portugal,2
2012,Puerto Rico,2
2012,Qatar,2
2012,Romania,14
2012,Russia,125
2012,Saudi Arabia,4
2012,Serbia,16
2012,Slovakia,6
2012,Slovenia,10
2012,South Africa,9
2012,South Korea,68
2012,Spain,66
2012,Sweden,25
2012,Switzerland,6
2012,Taiwan,1
2012,Tajikistan,1
2012,Thailand,4
2012,Trinidad,10
2012,Tunisia,3
2012,Turkey,3
2012,UK,128
2012,Uganda,1
2012,Ukraine,31
2012,United States of America,258
2012,Uzbekistan,3
2012,Venezuela,1
2012,Vietnam,1
2014,Argentina,1
2014,Armenia,2
2014,Australia,14
2014,Austria,27
2014,Azerbaijan,3
2014,Bahamas,1
2014,Bahrain,2
2014,Belarus,6
2014,Belgium,1
2014,Botswana,2
2014,Brazil,10
2014,Canada,91
2014,China,47
2014,Colombia,1
2014,Croatia,1
2014,Cuba,1
2014,Czech Republic,18
2014,Djibouti,1
2014,Egypt,5
2014,El Salvador,1
2014,Finland,33
2014,France,19
2014,Germany,40
2014,Greece,1
2014,Hungary,9
2014,Iran,1
2014,Italy,20
2014,Jamaica,1
2014,Japan,15
2014,Kazakhstan,2
2014,Latvia,15
2014,Lithuania,2
2014,Mexico,4
2014,Moldova,1
2014,Netherlands,32
2014,New Zealand,1
2014,Norway,38
2014,Poland,12
2014,Russia,79
2014,Slovakia,2
2014,Slovenia,10
2014,South Korea,17
2014,Spain,2
2014,Sweden,52
2014,Switzerland,32
2014,Taiwan,2
2014,Thailand,1
2014,Trinidad,2
2014,UK,20
2014,Ukraine,12
2014,United States of America,67
2014,Uzbekistan,1
2014,Venezuela,4
2014,Vietnam,1
2016,Algeria,2
2016,Argentina,22
2016,Armenia,4
2016,Australia,83
2016,Austria,4
2016,Azerbaijan,18
2016,Bahamas,6
2016,Bahrain,2
2016,Belarus,12
2016,Belgium,21
2016,Brazil,49
2016,Bulgaria,7
2016,Burundi,1
2016,Canada,71
2016,China,118
2016,Colombia,8
2016,Croatia,24
2016,Cuba,11
2016,Czech Republic,20
2016,Denmark,41
2016,Dominican Republic,1
2016,Egypt,3
2016,Estonia,4
2016,Ethiopia,8
2016,Fiji,13
2016,Finland,2
2016,France,97
2016,Georgia,7
